"symbol","code","name","date"
"sh688306","688306","均普智能","20250324" 
"sh688307","688307","中润光学","20250324" 
"sh688308","688308","欧科亿","20250324"   
"sh688309","688309","恒誉环保","20250324" 
"sh688310","688310","迈得医疗","20250324" 
"sh688311","688311","盟升电子","20250324" 
"sh688312","688312","燕麦科技","20250324" 
"sh688313","688313","仕佳光子","20250324" 
"sh688314","688314","康拓医疗","20250324" 
"sh688315","688315","诺禾致源","20250324" 
"sh688316","688316","青云科技","20250324" 
"sh688317","688317","之江生物","20250324" 
"sh688318","688318","财富趋势","20250324" 
"sh688319","688319","欧林生物","20250324" 
"sh688320","688320","禾川科技","20250324" 
"sh688321","688321","微芯生物","20250324" 
"sh688322","688322","奥比中光","20250324" 
"sh688323","688323","瑞华泰","20250324"   
"sh688325","688325","赛微微电","20250324" 
"sh688326","688326","经纬恒润","20250324" 
"sh688327","688327","云从科技","20250324" 
"sh688328","688328","深科达","20250324"   
"sh688329","688329","艾隆科技","20250324" 
"sh688330","688330","宏力达","20250324"   
"sh688331","688331","荣昌生物","20250324" 
"sh688332","688332","中科蓝讯","20250324" 
"sh688333","688333","铂力特","20250324"   
"sh688334","688334","西高院","20250324"   
"sh688335","688335","复洁环保","20250324" 
"sh688336","688336","三生国健","20250324" 
"sh688337","688337","普源精电","20250324" 
"sh688338","688338","赛科希德","20250324" 
"sh688339","688339","亿华通","20250324"   
"sh688343","688343","云天励飞","20250324" 
"sh688345","688345","博力威","20250324"   
"sh688347","688347","华虹公司","20250324" 
"sh688348","688348","昱能科技","20250324" 
"sh688349","688349","三一重能","20250324" 
"sh688350","688350","富淼科技","20250324" 
"sh688351","688351","微电生理","20250324" 
"sh688352","688352","颀中科技","20250324" 
"sh688353","688353","华盛锂电","20250324" 
"sh688355","688355","明志科技","20250324" 
"sh688356","688356","键凯科技","20250324" 
"sh688357","688357","建龙微纳","20250324" 
"sh688358","688358","祥生医疗","20250324" 
"sh688359","688359","三孚新科","20250324" 
"sh688360","688360","德马科技","20250324" 
"sh688361","688361","中科飞测","20250324" 
"sh688362","688362","甬矽电子","20250324" 
"sh688363","688363","华熙生物","20250324" 
"sh688365","688365","光云科技","20250324" 
"sh688366","688366","昊海生科","20250324" 
"sh688367","688367","工大高科","20250324" 
"sh688368","688368","晶丰明源","20250324" 
"sh688369","688369","致远互联","20250324" 
"sh688370","688370","丛麟科技","20250324" 
"sh688371","688371","菲沃泰","20250324"   
"sh688372","688372","伟测科技","20250324" 
"sh688373","688373","盟科药业","20250324" 
"sh688375","688375","国博电子","20250324" 
"sh688376","688376","美埃科技","20250324" 
"sh688377","688377","迪威尔","20250324"   
"sh688378","688378","奥来德","20250324"   
"sh688379","688379","华光新材","20250324" 
"sh688380","688380","中微半导","20250324" 
"sh688381","688381","帝奥微","20250324"   
"sh688382","688382","益方生物","20250324" 
"sh688383","688383","新益昌","20250324"   
"sh688385","688385","复旦微电","20250324" 
"sh688386","688386","泛亚微透","20250324" 
"sh688387","688387","信科移动","20250324" 
"sh688388","688388","嘉元科技","20250324" 
"sh688389","688389","普门科技","20250324" 
"sh688390","688390","固德威","20250324"   
"sh688391","688391","钜泉科技","20250324" 
"sh688392","688392","骄成超声","20250324" 
"sh688393","688393","安必平","20250324"   
"sh688395","688395","正弦电气","20250324" 
"sh688396","688396","华润微","20250324"   
"sh688398","688398","赛特新材","20250324" 
"sh688399","688399","硕世生物","20250324" 
"sh688400","688400","凌云光","20250324"   
"sh688401","688401","路维光电","20250324" 
"sh688403","688403","汇成股份","20250324" 
"sh688408","688408","中信博","20250324"   
"sh688409","688409","富创精密","20250324" 
"sh688410","688410","山外山","20250324"   
"sh688411","688411","海博思创","20250324" 
"sh688416","688416","恒烁股份","20250324" 
"sh688418","688418","震有科技","20250324" 
"sh688419","688419","耐科装备","20250324" 
"sh688420","688420","美腾科技","20250324" 
"sh688425","688425","铁建重工","20250324" 
"sh688426","688426","康为世纪","20250324" 
"sh688428","688428","诺诚健华","20250324" 
"sh688429","688429","时创能源","20250324" 
"sh688432","688432","有研硅","20250324"   
"sh688433","688433","华曙高科","20250324" 
"sh688435","688435","英方软件","20250324" 
"sh688439","688439","振华风光","20250324" 
"sh688443","688443","智翔金泰","20250324" 
"sh688448","688448","磁谷科技","20250324" 
"sh688449","688449","联芸科技","20250324" 
"sh688450","688450","光格科技","20250324" 
"sh688455","688455","科捷智能","20250324" 
"sh688456","688456","有研粉材","20250324" 
